     	!=    	(    	)    	*    	+    	,    	-    	;    	<    	<=    	=    	==    	>    	>=    	[    	]    	and   	begin  	call   	do    	double  	else   	end   	false  	funct  	id    	if    	int   	not   	num   	or    	record  	then   	true   	while  	#    	B    	B1    	B2    	C    	D    	E    	E1    	E2    	EL    	L    	M    	M0    	N    	N1    	N2    	P    	P'    	R    	S    	S0    	S1    	S2    	S3    	T    	X    
0    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	s23   	error  	error  	error  	error  	error  	error  	s22   	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	2    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	1    	error  	error  	error  	error  	error  	error  	error  	19    	error  	
1    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	acc   	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	
2    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	s23   	error  	error  	error  	error  	s6    	error  	s22   	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	18    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	3    	error  	error  	error  	error  	19    	error  	
3    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	r14   	error  	error  	error  	error  	error  	error  	error  	error  	error  	r1    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	4    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	
4    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	s6    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	5    	error  	error  	error  	error  	error  	error  	
5    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	r14   	error  	error  	error  	error  	error  	error  	error  	error  	error  	r2    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	4    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	
6    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	s7    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	
7    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	s14   	error  	error  	error  	s15   	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	8    	17    	16    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	
8    	error  	error  	error  	error  	s10   	error  	error  	s9    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	
9    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	r7    	error  	error  	error  	error  	error  	error  	error  	error  	error  	r7    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	
