     	!=    	(    	)    	*    	+    	;    	<    	<=    	=    	==    	>    	>=    	[    	]    	call   	do    	double  	false  	id    	if    	int   	num   	then   	true   	while  	{    	}    	#    	A    	A0    	A1    	A2    	A3    	B    	D    	E    	E1    	E2    	JG    	S    	S'    	T    
0    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	s128   	error  	s131   	s147   	s127   	error  	error  	error  	s137   	s151   	error  	error  	129   	error  	135   	136   	error  	error  	2    	error  	error  	error  	error  	1    	error  	124   	
1    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	acc   	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	
2    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	s128   	error  	s6    	s120   	s127   	error  	error  	error  	s34   	s117   	error  	r1    	4    	error  	32    	33    	error  	error  	3    	error  	error  	error  	error  	error  	error  	124   	
3    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	s128   	error  	s6    	s120   	s127   	error  	error  	error  	s34   	s117   	error  	r4    	4    	error  	32    	33    	error  	error  	3    	error  	error  	error  	error  	error  	error  	124   	
4    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	r5    	error  	s6    	s120   	r5    	error  	error  	error  	s34   	s117   	error  	r5    	5    	error  	32    	33    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	
5    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	r3    	error  	s6    	s120   	r3    	error  	error  	error  	s34   	s117   	error  	r3    	5    	error  	32    	33    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	
6    	error  	error  	error  	error  	error  	error  	error  	error  	s7    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	
7    	error  	s14   	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	s28   	error  	error  	s29   	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	8    	31    	30    	error  	error  	error  	error  	
8    	error  	error  	error  	error  	s10   	s9    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	
9    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	r9    	error  	r9    	r9    	r9    	error  	error  	error  	r9    	r9    	error  	r9    	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	
10    	error  	s14   	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	s28   	error  	error  	s29   	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	11    	30    	error  	error  	error  	error  	
11    	error  	error  	error  	s12   	r10   	r10   	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	error  	
